"","case","tech","Default","X10kb","X100kb","X1Mb"
"1",9202,"MethylMaster",11.6363636363636,16.4090909090909,13.1363636363636,11.6363636363636
"2",9202,"Sesame",3.68181818181818,7.68181818181818,1.63636363636364,1.13636363636364
"3",9202,"Conumee",10.2272727272727,13.1363636363636,11.6363636363636,8.90909090909091
"4",9202,"SNP",40.9090909090909,40.9090909090909,40.9090909090909,40.9090909090909
"5",9203,"MethylMaster",14.7272727272727,16.4090909090909,13.1363636363636,10.2272727272727
"6",9203,"Sesame",13.1363636363636,20.0454545454545,10.2272727272727,6.54545454545455
"7",9203,"Conumee",11.6363636363636,10.2272727272727,8.90909090909091,6.54545454545455
"8",9203,"SNP",33.1363636363636,33.1363636363636,33.1363636363636,33.1363636363636
"9",9327,"MethylMaster",92.0454545454545,88,92.0454545454545,76.4090909090909
"10",9327,"Sesame",30.7272727272727,40.9090909090909,20.0454545454545,16.4090909090909
"11",9327,"Conumee",55.6818181818182,58.9090909090909,58.9090909090909,24.0454545454545
"12",9327,"SNP",360.045454545455,360.045454545455,360.045454545455,360.045454545455
"13",9328,"MethylMaster",65.6363636363636,69.1363636363636,40.9090909090909,20.0454545454545
"14",9328,"Sesame",43.6818181818182,46.5454545454545,33.1363636363636,11.6363636363636
"15",9328,"Conumee",43.6818181818182,46.5454545454545,30.7272727272727,16.4090909090909
"16",9328,"SNP",3512.90909090909,3512.90909090909,3512.90909090909,3512.90909090909
"17",9337,"MethylMaster",384.727272727273,454.545454545455,344.045454545455,43.6818181818182
"18",9337,"Sesame",174.727272727273,152.909090909091,180.409090909091,18.1818181818182
"19",9337,"Conumee",269.5,210.181818181818,242.227272727273,26.1818181818182
"20",9337,"SNP",1360.40909090909,1360.40909090909,1360.40909090909,1360.40909090909
"21",9338,"MethylMaster",76.4090909090909,49.5,62.2272727272727,30.7272727272727
"22",9338,"Sesame",33.1363636363636,18.1818181818182,26.1818181818182,13.1363636363636
"23",9338,"Conumee",88,80.1818181818182,118.227272727273,13.1363636363636
"24",9338,"SNP",2342.22727272727,2342.22727272727,2342.22727272727,2342.22727272727
"25",9350,"MethylMaster",88,58.9090909090909,38.2272727272727,22
"26",9350,"Sesame",43.6818181818182,38.2272727272727,26.1818181818182,14.7272727272727
"27",9350,"Conumee",38.2272727272727,30.7272727272727,28.4090909090909,13.1363636363636
"28",9350,"SNP",3640.40909090909,3640.40909090909,3640.40909090909,3640.40909090909
"29",9353,"MethylMaster",109.136363636364,158.227272727273,100.409090909091,35.6363636363636
"30",9353,"Sesame",30.7272727272727,43.6818181818182,35.6363636363636,6.54545454545455
"31",9353,"Conumee",65.6363636363636,62.2272727272727,55.6818181818182,11.6363636363636
"32",9353,"SNP",401.636363636364,401.636363636364,401.636363636364,401.636363636364
"33",9354,"MethylMaster",65.6363636363636,84.0454545454545,62.2272727272727,62.2272727272727
"34",9354,"Sesame",35.6363636363636,55.6818181818182,35.6363636363636,16.4090909090909
"35",9354,"Conumee",18.1818181818182,14.7272727272727,22,11.6363636363636
"36",9354,"SNP",235.636363636364,235.636363636364,235.636363636364,235.636363636364
"37",9355,"MethylMaster",132.545454545455,92.0454545454545,132.545454545455,69.1363636363636
"38",9355,"Sesame",46.5454545454545,30.7272727272727,26.1818181818182,11.6363636363636
"39",9355,"Conumee",62.2272727272727,38.2272727272727,55.6818181818182,7.68181818181818
"40",9355,"SNP",352,352,352,352
"41",9356,"MethylMaster",62.2272727272727,76.4090909090909,55.6818181818182,80.1818181818182
"42",9356,"Sesame",28.4090909090909,38.2272727272727,22,8.90909090909091
"43",9356,"Conumee",40.9090909090909,33.1363636363636,28.4090909090909,8.90909090909091
"44",9356,"SNP",427.681818181818,427.681818181818,427.681818181818,427.681818181818
"45",9357,"MethylMaster",62.2272727272727,40.9090909090909,40.9090909090909,40.9090909090909
"46",9357,"Sesame",24.0454545454545,28.4090909090909,16.4090909090909,13.1363636363636
"47",9357,"Conumee",40.9090909090909,33.1363636363636,46.5454545454545,8.90909090909091
"48",9357,"SNP",654.545454545455,654.545454545455,654.545454545455,654.545454545455
"49",9358,"MethylMaster",76.4090909090909,96.1818181818182,62.2272727272727,30.7272727272727
"50",9358,"Sesame",24.0454545454545,30.7272727272727,26.1818181818182,8.90909090909091
"51",9358,"Conumee",43.6818181818182,40.9090909090909,40.9090909090909,18.1818181818182
"52",9358,"SNP",687.681818181818,687.681818181818,687.681818181818,687.681818181818
