"","Case","Bin","Tech","val"
"138","9356","1e+05","Sesame",16.4458520247725
"139","9356","1e+05","Conumee",12.4221268368921
"140","9356","1e+06","MethylMaster",29.3934886526681
"141","9356","1e+06","Sesame",31.9143074975219
"142","9356","1e+06","Conumee",12.6483145394662
"143","9356","DEF","SNP",41.5
"144","9357","50000","MethylMaster",14.1728188627391
"145","9357","50000","Sesame",12.9145130605756
"146","9357","50000","Conumee",13.4600310896929
"147","9357","10000","MethylMaster",12.3086252673028
"148","9357","10000","Sesame",12.6394913508819
"149","9357","10000","Conumee",13.5381978714147
"150","9357","1e+05","MethylMaster",17.0949818731112
"151","9357","1e+05","Sesame",16.1903541089459
"152","9357","1e+05","Conumee",13.0930100264034
"153","9357","1e+06","MethylMaster",19.8751879328339
"154","9357","1e+06","Sesame",24.4815669581958
"155","9357","1e+06","Conumee",12.0005984547309
"156","9357","DEF","SNP",37.7
"157","9358","50000","MethylMaster",14.7910776689305
"158","9358","50000","Sesame",14.8753887045511
"159","9358","50000","Conumee",14.3709941156161
"160","9358","10000","MethylMaster",13.6997818774941
"161","9358","10000","Sesame",14.8694764160389
"162","9358","10000","Conumee",14.4466285072973
"163","9358","1e+05","MethylMaster",14.6942810087339
"164","9358","1e+05","Sesame",14.7609160944626
"165","9358","1e+05","Conumee",14.4482295648145
"166","9358","1e+06","MethylMaster",13.7665926987836
"167","9358","1e+06","Sesame",13.991557853872
"168","9358","1e+06","Conumee",13.50181811124
"169","9358","DEF","SNP",44.3
