"","Case","Bin","type","count","c_sq","chr_count","gi"
"107",9354,10000,"SeSAMe",35,1225,14,87.5
"108",9354,50000,"Conumee",19,361,12,30.0833333333333
"109",9354,50000,"MethylMaster",34,1156,14,82.5714285714286
"110",9354,50000,"SeSAMe",32,1024,17,60.2352941176471
"111",9354,1e+05,"Conumee",20,400,11,36.3636363636364
"112",9354,1e+05,"MethylMaster",33,1089,15,72.6
"113",9354,1e+05,"SeSAMe",32,1024,14,73.1428571428571
"114",9354,1e+06,"Conumee",15,225,9,25
"115",9354,1e+06,"MethylMaster",32,1024,18,56.8888888888889
"116",9354,1e+06,"SNP",29,841,20,42.05
"117",9354,1e+06,"SeSAMe",22,484,14,34.5714285714286
"118",9355,10000,"Conumee",26,676,13,52
"119",9355,10000,"MethylMaster",39,1521,15,101.4
"120",9355,10000,"SeSAMe",31,961,13,73.9230769230769
"121",9355,50000,"Conumee",34,1156,14,82.5714285714286
"122",9355,50000,"MethylMaster",42,1764,16,110.25
"123",9355,50000,"SeSAMe",40,1600,15,106.666666666667
"124",9355,1e+05,"Conumee",32,1024,13,78.7692307692308
"125",9355,1e+05,"MethylMaster",39,1521,15,101.4
"126",9355,1e+05,"SeSAMe",36,1296,15,86.4
"127",9355,1e+06,"Conumee",11,121,6,20.1666666666667
"128",9355,1e+06,"MethylMaster",30,900,15,60
"129",9355,1e+06,"SNP",40,1600,18,88.8888888888889
"130",9355,1e+06,"SeSAMe",29,841,14,60.0714285714286
"131",9356,10000,"Conumee",23,529,13,40.6923076923077
"132",9356,10000,"MethylMaster",37,1369,14,97.7857142857143
"133",9356,10000,"SeSAMe",33,1089,13,83.7692307692308
"134",9356,50000,"Conumee",27,729,13,56.0769230769231
"135",9356,50000,"MethylMaster",31,961,14,68.6428571428571
"136",9356,50000,"SeSAMe",32,1024,13,78.7692307692308
"137",9356,1e+05,"Conumee",23,529,12,44.0833333333333
"138",9356,1e+05,"MethylMaster",27,729,13,56.0769230769231
"139",9356,1e+05,"SeSAMe",27,729,13,56.0769230769231
"140",9356,1e+06,"Conumee",13,169,7,24.1428571428571
"141",9356,1e+06,"MethylMaster",32,1024,17,60.2352941176471
"142",9356,1e+06,"SNP",33,1089,17,64.0588235294118
"143",9356,1e+06,"SeSAMe",22,484,13,37.2307692307692
"144",9357,10000,"Conumee",25,625,13,48.0769230769231
"145",9357,10000,"MethylMaster",26,676,12,56.3333333333333
"146",9357,10000,"SeSAMe",26,676,12,56.3333333333333
"147",9357,50000,"Conumee",25,625,12,52.0833333333333
"148",9357,50000,"MethylMaster",31,961,15,64.0666666666667
"149",9357,50000,"SeSAMe",26,676,12,56.3333333333333
"150",9357,1e+05,"Conumee",24,576,10,57.6
"151",9357,1e+05,"MethylMaster",27,729,15,48.6
"152",9357,1e+05,"SeSAMe",24,576,13,44.3076923076923
"153",9357,1e+06,"Conumee",11,121,7,17.2857142857143
"154",9357,1e+06,"MethylMaster",27,729,14,52.0714285714286
"155",9357,1e+06,"SNP",36,1296,18,72
"156",9357,1e+06,"SeSAMe",24,576,14,41.1428571428571
"157",9358,10000,"Conumee",24,576,14,41.1428571428571
"158",9358,10000,"MethylMaster",31,961,12,80.0833333333333
"159",9358,10000,"SeSAMe",34,1156,14,82.5714285714286
"160",9358,50000,"Conumee",27,729,14,52.0714285714286
"161",9358,50000,"MethylMaster",32,1024,15,68.2666666666667
"162",9358,50000,"SeSAMe",31,961,14,68.6428571428571
"163",9358,1e+05,"Conumee",26,676,13,52
"164",9358,1e+05,"MethylMaster",31,961,14,68.6428571428571
"165",9358,1e+05,"SeSAMe",30,900,14,64.2857142857143
"166",9358,1e+06,"Conumee",16,256,9,28.4444444444444
"167",9358,1e+06,"MethylMaster",19,361,10,36.1
"168",9358,1e+06,"SNP",46,2116,18,117.555555555556
"169",9358,1e+06,"SeSAMe",18,324,10,32.4
