"","Case","Bin","type","count","c_sq","chr_count","gi"
"142",9357,1e+06,"SNP",36,1296,18,72
"143",9357,1e+06,"SeSAMe",24,576,14,41.1428571428571
"144",9358,10000,"Conumee",24,576,14,41.1428571428571
"145",9358,10000,"MethylMaster",31,961,12,80.0833333333333
"146",9358,10000,"SeSAMe",34,1156,14,82.5714285714286
"147",9358,50000,"Conumee",27,729,14,52.0714285714286
"148",9358,50000,"MethylMaster",32,1024,15,68.2666666666667
"149",9358,50000,"SeSAMe",31,961,14,68.6428571428571
"150",9358,1e+05,"Conumee",26,676,13,52
"151",9358,1e+05,"MethylMaster",31,961,14,68.6428571428571
"152",9358,1e+05,"SeSAMe",30,900,14,64.2857142857143
"153",9358,1e+06,"Conumee",16,256,9,28.4444444444444
"154",9358,1e+06,"MethylMaster",19,361,10,36.1
"155",9358,1e+06,"SNP",46,2116,18,117.555555555556
"156",9358,1e+06,"SeSAMe",18,324,10,32.4
