"","Cases","Bin_Size","Technology","Accuracy"
"133",9202,"1e+06","Conumee",1
"134",9203,"1e+06","Conumee",1
"135",9328,"1e+06","Conumee",0.362571360177972
"136",9337,"1e+06","Conumee",0.836949619433759
"137",9338,"1e+06","Conumee",0.199566809569017
"138",9350,"1e+06","Conumee",0.216431753833138
"139",9353,"1e+06","Conumee",0.532013758304114
"140",9354,"1e+06","Conumee",0.616380261148833
"141",9355,"1e+06","Conumee",0.601004922837915
"142",9356,"1e+06","Conumee",0.848885375320502
"143",9357,"1e+06","Conumee",0.537529517857402
"144",9358,"1e+06","Conumee",0.656010926813656
