"","Tech","Bin","CCNE1","CDKN2A","MYC","MYOCD","PTEN","RB1","TP53","Metric"
"1","Conumee",10000,0.83779201093328,0.846540116710971,0.419647138750812,0.741745336840966,-0.0270180319565734,0.403636002447972,0.827064641743118,"Pearson"
"2","Conumee",50000,0.842806931349531,0.836711833676758,0.653449642483349,0.756134749370124,0.0471674452629337,0.554062958387521,0.883489567177657,"Pearson"
"3","Conumee",1e+05,0.820591525432917,0.834079535494864,0.611125483225314,0.742924388393938,0.0570333724375053,0.340099564942769,0.88861225912695,"Pearson"
"4","Conumee",1e+06,0.839303846949906,0.853640407415978,0.639280509213666,0.754293775921303,-0.042979194841709,0.69006608312435,0.894068161436909,"Pearson"
"5","MethylMasteR",10000,0.825459777957411,0.827365164447729,0.613098256491752,0.758152875936701,0.0670366391172015,0.266581055491617,0.906613514258176,"Pearson"
"6","MethylMasteR",50000,0.798965857165604,0.81669471834468,0.573607452824293,0.701641037565306,0.0600992241046542,0.273284510812995,0.916424747185501,"Pearson"
"7","MethylMasteR",1e+05,0.831198445457456,0.863899865129363,0.718728368692341,0.788085743422342,0.0540275017254918,0.439402055251127,0.922162788806846,"Pearson"
"8","MethylMasteR",1e+06,0.792976545091679,0.829968130962197,0.58789930052229,0.737909877261222,-0.046677466572844,0.391334849379895,0.830119319692829,"Pearson"
"9","Sesame",10000,0.827184633965631,0.857260354740506,0.537369431098888,0.720668607784687,0.0688024647088758,0.0690414273834516,0.88499767089711,"Pearson"
"10","Sesame",50000,0.791026714014055,0.844989792875035,0.545020316476612,0.735995594570747,0.0623755483152133,-0.149504486130106,0.892133736419603,"Pearson"
"11","Sesame",1e+05,0.816864827916344,0.880704023945085,0.585488309379516,0.737138775560722,0.0692333652229035,-0.0670934727870685,0.894958229667925,"Pearson"
"12","Sesame",1e+06,0.765894698851918,0.845310342279086,0.496746882133397,0.735701166679011,-0.0278395171241367,0.319834324621628,0.906974288487336,"Pearson"
"13","Conumee",10000,0.745530278878388,0.760225171420493,0.396694214876033,0.671328671328671,0.202690664477752,0.286713286713287,0.800004924637654,"Spearman"
"14","Conumee",50000,0.765843126397633,0.698346378397895,0.537190082644628,0.664335664335664,0.211659277950218,0.41958041958042,0.800004924637654,"Spearman"
"15","Conumee",1e+05,0.749314138058116,0.740051492433969,0.480000456599938,0.699300699300699,0.254937574235178,0.321678321678322,0.822496876550158,"Spearman"
"16","Conumee",1e+06,0.76203648431481,0.800004395506449,0.56198347107438,0.699300699300699,0.199103219088765,0.629370629370629,0.898251143452805,"Spearman"
"17","MethylMasteR",10000,0.657497183217472,0.583428619927355,0.385674931129477,0.748251748251748,0.252914899923566,0.027972027972028,0.90526873051103,"Spearman"
"18","MethylMasteR",50000,0.657497183217472,0.567958921671706,0.498622589531681,0.671328671328671,0.234977672978632,0.125874125874126,0.926321491685705,"Spearman"
"19","MethylMasteR",1e+05,0.707015799526737,0.665197024992932,0.429752066115703,0.727272727272727,0.234977672978632,0.167832167832168,0.929830285214818,"Spearman"
"20","MethylMasteR",1e+06,0.828061306060498,0.559119094097049,0.371900826446281,0.797202797202797,0.191928328310791,0.118881118881119,0.764916989346529,"Spearman"
"21","Sesame",10000,0.817057169102883,0.667406981886596,0.537190082644628,0.685314685314685,0.202690664477752,-0.174825174825175,0.796496131108542,"Spearman"
"22","Sesame",50000,0.58046822451417,0.654873667445306,0.484848484848485,0.685314685314685,0.206278109866738,-0.0909090909090909,0.814040098754105,"Spearman"
"23","Sesame",1e+05,0.745530278878388,0.658567154311939,0.471074380165289,0.685314685314685,0.200896941783258,-0.216783216783217,0.856145621103455,"Spearman"
"24","Sesame",1e+06,0.530949608204904,0.594478404395676,0.465564738292011,0.741258741258741,0.199103219088765,0.13986013986014,0.884215969336355,"Spearman"
