"","Case","Bin","Tech","val"
"138","9357","1e+05","Sesame",16.1903541089459
"139","9357","1e+06","Sesame",24.4815669581958
"140","9357","10000","Conumee",13.5381978714147
"141","9357","50000","Conumee",13.4600310896929
"142","9357","1e+05","Conumee",13.0930100264034
"143","9357","1e+06","Conumee",12.0005984547309
"144","9357","DEF","SNP",37.7
"145","9358","10000","MethylMaster",13.6997818774941
"146","9358","50000","MethylMaster",14.7910776689305
"147","9358","1e+05","MethylMaster",14.6942810087339
"148","9358","1e+06","MethylMaster",13.7665926987836
"149","9358","10000","Sesame",14.8694764160389
"150","9358","50000","Sesame",14.8753887045511
"151","9358","1e+05","Sesame",14.7609160944626
"152","9358","1e+06","Sesame",13.991557853872
"153","9358","10000","Conumee",14.4466285072973
"154","9358","50000","Conumee",14.3709941156161
"155","9358","1e+05","Conumee",14.4482295648145
"156","9358","1e+06","Conumee",13.50181811124
"157","9358","DEF","SNP",44.3
